Meno jazdca,Tím,Kategória,Cena
"T. POGACAR","UAE Team Emirates XRG","Leaders","27"
"J. VINGEGAARD HANSEN","Team Visma | Lease a Bike","Leaders","24"
"T. MERLIER","Soudal Quick-Step","Sprinters","23"
"I. DEL TORO ROMERO","UAE Team Emirates XRG","Climbers","22"
"J. PHILIPSEN","Alpecin-Premier Tech","Sprinters","22"
"M. VAN DER POEL","Alpecin-Premier Tech","All-rounders","22"
"F. LIPOWITZ","Red Bull - BORA - hansgrohe","Leaders","20"
"R. EVENEPOEL","Red Bull - BORA - hansgrohe","Leaders","20"
"J. AYUSO PESQUERA","Lidl-Trek","Leaders","20"
"P. SEIXAS","Decathlon CMA CGM Team","Leaders","19"
"O. KOOIJ","Decathlon CMA CGM Team","Sprinters","19"
"A. YATES","UAE Team Emirates XRG","Leaders","19"
"B. GIRMAY","NSN Cycling Team","Sprinters","19"
"R. CARAPAZ","EF Education - Easypost","Leaders","19"
"F. GANNA","Netcompany Ineos","All-rounders","18"
"M. PEDERSEN","Lidl-Trek","Sprinters","18"
"M. JORGENSON","Team Visma | Lease a Bike","Climbers","18"
"T. PIDCOCK","Pinarello-Q.36.5 Pro Cycling Team","Leaders","18"
"T. ARENSMAN","Netcompany Ineos","Leaders","17"
"T. JOHANNESSEN","Uno-X Mobility","Leaders","17"
"M. SKJELMOSE","Lidl-Trek","Climbers","17"
"D. PIGANZOLI","Team Visma | Lease a Bike","Climbers","16"
"C. UIJTDEBROEKS","Movistar Team","Leaders","16"
"M. RICCITELLO","Decathlon CMA CGM Team","Climbers","16"
"D. GEE","Lidl-Trek","Leaders","16"
"A. DE LIE","Lotto Intermarché","Sprinters","16"
"J. TARLING","Netcompany Ineos","All-rounders","16"
"B. MCNULTY","UAE Team Emirates XRG","Climbers","16"
"S. KUSS","Team Visma | Lease a Bike","Climbers","16"
"E. BERNAL GOMEZ","Netcompany Ineos","Leaders","16"
"M. STORER","Tudor Pro Cycling Team","Leaders","16"
"J. HINDLEY","Red Bull - BORA - hansgrohe","Climbers","16"
"M. MOHORIC","Bahrain Victorious","All-rounders","16"
"B. O'CONNOR","Team Jayco AlUla","Leaders","16"
"A. DE KLEIJN","Tudor Pro Cycling Team","Sprinters","15"
"A. TIBERI","Bahrain Victorious","Leaders","15"
"K. VAUQUELIN","Netcompany Ineos","Leaders","15"
"T. STEWART","NSN Cycling Team","Sprinters","15"
"P. ACKERMANN","Team Jayco AlUla","Sprinters","15"
"B. HEALY","EF Education - Easypost","All-rounders","15"
"L. MARTINEZ","Bahrain Victorious","Climbers","15"
"M. MATTHEWS","Team Jayco AlUla","Sprinters","15"
"Q. SIMMONS","Lidl-Trek","All-rounders","15"
"J. ALAPHILIPPE","Tudor Pro Cycling Team","All-rounders","15"
"P. BAUHAUS","Bahrain Victorious","Sprinters","15"
"E. AFFINI","Team Visma | Lease a Bike","All-rounders","14"
"V. PARET PEINTRE","Soudal Quick-Step","Climbers","14"
"E. RUBIO REYES","Movistar Team","Climbers","14"
"M. FRETIN","Cofidis","Sprinters","14"
"J. JEGAT","TotalEnergies","Leaders","14"
"F. GAVIRIA RENDON","Caja Rural-Seguros RGA","Sprinters","14"
"R. GREGOIRE","Groupama-FDJ United","All-rounders","14"
"D. GODON","Netcompany Ineos","Sprinters","14"
"M. SCHMID","Team Jayco AlUla","Climbers","14"
"M. CORT NIELSEN","Uno-X Mobility","All-rounders","14"
"M. KANTER","XDS Astana Team","Sprinters","13"
"G. STEINHAUSER","EF Education - Easypost","All-rounders","13"
"S. HIGUITA GARCIA","XDS Astana Team","Climbers","13"
"P. BITTNER","Team Picnic PostNL","Sprinters","13"
"L. PLAPP","Team Jayco AlUla","All-rounders","13"
"J. BERCKMOES","Lotto Intermarché","Sprinters","13"
"T. FOSS","Netcompany Ineos","All-rounders","13"
