Meno jazdca,Tím,Kategória,Cena
"T. POGACAR","UAE Team Emirates XRG","Leaders","25"
"W. VAN AERT","Team Visma | Lease a Bike","All-rounders","24"
"M. PEDERSEN","Lidl-Trek","Sprinters","23"
"R. CARAPAZ","EF Education - Easypost","Leaders","22"
"P. ROGLIC","Red Bull - BORA - hansgrohe","Leaders","21"
"F. GALL","Decathlon CMA CGM Team","Leaders","20"
"J. ALMEIDA","UAE Team Emirates XRG","Leaders","20"
"F. LIPOWITZ","Red Bull - BORA - hansgrohe","Leaders","20"
"J. BRENNAN","Team Visma | Lease a Bike","Sprinters","19"
"M. SKJELMOSE","Lidl-Trek","Leaders","19"
"E. ONLEY","Netcompany Ineos","Leaders","19"
"E. MAS NICOLAU","Movistar Team","Leaders","19"
"K. GROVES","Alpecin-Premier Tech","Sprinters","19"
"T. JOHANNESSEN","Uno-X Mobility","Leaders","18"
"B. TURNER","Netcompany Ineos","Sprinters","18"
"C. RODRIGUEZ","Netcompany Ineos","Leaders","18"
"C. UIJTDEBROEKS","Movistar Team","Leaders","18"
"I. VAN WILDER","Soudal Quick-Step","Leaders","17"
"J. MEEUS","Red Bull - BORA - hansgrohe","Sprinters","17"
"A. DAINESE","Soudal Quick-Step","Sprinters","17"
"S. KUSS","Team Visma | Lease a Bike","Climbers","17"
"M. LANDA MEANA","Soudal Quick-Step","Leaders","17"
"S. BUITRAGO SANCHEZ","Bahrain Victorious","Leaders","17"
"J. NORDHAGEN","Team Visma | Lease a Bike","Climbers","16"
"I. ROMEO ABAD","Movistar Team","All-rounders","16"
"L. BISIAUX","Decathlon CMA CGM Team","Climbers","16"
"J. TARLING","Netcompany Ineos","All-rounders","16"
"G. MARTIN GUYONNET","Groupama-FDJ United","Leaders","16"
"D. MARTINEZ POVEDA","Red Bull - BORA - hansgrohe","Climbers","16"
"M. RICCITELLO","Decathlon CMA CGM Team","Leaders","16"
"P. CASTRILLO ZAPATER","Movistar Team","Climbers","16"
"V. PARET PEINTRE","Soudal Quick-Step","Climbers","16"
"H. TEJADA CANACUE","XDS Astana Team","Leaders","16"
"J. VINE","UAE Team Emirates XRG","Climbers","16"
"A. VALTER","Bahrain Victorious","Climbers","16"
"B. COQUARD","Cofidis","Sprinters","16"
"M. VAN GILS","Red Bull - BORA - hansgrohe","Climbers","15"
"T. NYS","Lidl-Trek","Sprinters","15"
"B. TULETT","Team Visma | Lease a Bike","Climbers","15"
"R. GARCIA PIERNA","Movistar Team","All-rounders","15"
"I. IZAGIRRE INSAUSTI","Cofidis","Leaders","15"
"C. HARPER","Pinarello-Q.36.5 Pro Cycling Team","Climbers","15"
"P. BITTNER","Team Picnic PostNL","Sprinters","15"
"N. QUINTANA","Movistar Team","Climbers","15"
"L. FORTUNATO","XDS Astana Team","Leaders","15"
"C. RODRIGUEZ MARTIN","XDS Astana Team","Climbers","15"
"E. RUBIO REYES","Movistar Team","Climbers","15"
"P. SIVAKOV","UAE Team Emirates XRG","Climbers","15"
"O. AULAR SANABRIA","Movistar Team","Sprinters","15"
"L. PLAPP","Team Jayco AlUla","Climbers","14"
"M. MATTHEWS","Team Jayco AlUla","Sprinters","14"
"P. BILBAO LOPEZ DE ARMENTIA","Bahrain Victorious","Climbers","14"
"B. GILMORE","NSN Cycling Team","Sprinters","14"
"S. KÜNG","Tudor Pro Cycling Team","All-rounders","14"
"E. DUNBAR","Pinarello-Q.36.5 Pro Cycling Team","Leaders","14"
"G. Mühlberger","Decathlon CMA CGM Team","Climbers","14"
"S. KRUIJSWIJK","Team Visma | Lease a Bike","Climbers","14"
"L. DE PLUS","Netcompany Ineos","Climbers","14"
"B. ARMIRAIL","Team Visma | Lease a Bike","All-rounders","14"
"M. GOVEKAR","Bahrain Victorious","Sprinters","14"
"C. LAPORTE","Team Visma | Lease a Bike","All-rounders","13"
"P. DOUBLE","Team Jayco AlUla","Climbers","13"
"A. LEKNESSUND","Uno-X Mobility","All-rounders","13"
"M. CORT NIELSEN","Uno-X Mobility","Sprinters","13"
"P. TORRES ARIAS","UAE Team Emirates XRG","Climbers","13"
"L. TUCKWELL","Red Bull - BORA - hansgrohe","Climbers","13"
"J. WIDAR","Lotto Intermarché","Climbers","13"
"V. MADOUAS","Groupama-FDJ United","All-rounders","13"
"R. DEBRUYNE","Alpecin-Premier Tech","Climbers","13"
"M. FRIGO","NSN Cycling Team","Climbers","13"
"U. BERRADE FERNANDEZ","Equipo Kern Pharma","Leaders","13"
"C. BERTHET","Groupama-FDJ United","Climbers","13"
"C. CHAMPOUSSIN","XDS Astana Team","Climbers","13"
"F. FISHER - BLACK","Red Bull - BORA - hansgrohe","Climbers","13"
"S. CRAS","Soudal Quick-Step","Climbers","13"
"F. ZANA","Soudal Quick-Step","Climbers","13"
"J. LOPEZ PEREZ","Movistar Team","Climbers","13"
