fantasy_name,team,category,price,pcs_match_found,match_similarity,pcs_name,pcs_rank,pcs_points_2025,pcs_points_12m,wins_2026,pcs_nationality,pcs_team,pcs_url,value_points,points_per_credit,value_category
T. POGACAR,UAE Team Emirates XRG,Leaders,25,True,1.0,POGAČAR Tadej,1,2123.0,4744.0,15,SI,UAE Team Emirates - XRG,https://www.procyclingstats.com/rider/tadej-pogacar,2647.2,137.65439999999998,Excellent
W. VAN AERT,Team Visma | Lease a Bike,All-rounders,24,True,1.0,VAN AERT Wout,18,829.0,1244.0,0,BE,Team Visma | Lease a Bike,https://www.procyclingstats.com/rider/wout-van-aert,912.0,38.0,Excellent
M. PEDERSEN,Lidl-Trek,Sprinters,23,True,1.0,PEDERSEN Mads,42,490.0,1091.0,0,DK,Lidl - Trek,https://www.procyclingstats.com/rider/mads-pedersen,610.2,26.530434782608697,Good
R. CARAPAZ,EF Education - Easypost,Leaders,22,True,1.0,CARAPAZ Richard,74,374.0,547.0,0,EC,EF Education - EasyPost,https://www.procyclingstats.com/rider/richard-carapaz,408.6,18.572727272727274,Good
P. ROGLIC,Red Bull - BORA - hansgrohe,Leaders,21,True,1.0,ROGLIČ Primož,58,420.0,921.0,0,SI,Red Bull - BORA - hansgrohe,https://www.procyclingstats.com/rider/primoz-roglic,520.2,24.771428571428572,Good
F. GALL,Decathlon CMA CGM Team,Leaders,20,True,1.0,GALL Felix,14,857.0,1566.0,0,AT,Decathlon CMA CGM Team,https://www.procyclingstats.com/rider/felix-gall,998.8,49.94,Excellent
J. ALMEIDA,UAE Team Emirates XRG,Leaders,20,True,1.0,ALMEIDA João,154,242.0,878.0,0,PT,UAE Team Emirates - XRG,https://www.procyclingstats.com/rider/joao-almeida,369.2,18.46,Good
F. LIPOWITZ,Red Bull - BORA - hansgrohe,Leaders,20,True,1.0,LIPOWITZ Florian,9,1002.0,1559.0,5,DE,Red Bull - BORA - hansgrohe,https://www.procyclingstats.com/rider/florian-lipowitz,1113.4,69.5875,Excellent
J. BRENNAN,Team Visma | Lease a Bike,Sprinters,19,True,1.0,BRENNAN Matthew,51,451.0,839.0,0,GB,Team Visma | Lease a Bike,https://www.procyclingstats.com/rider/matthew-brennan,528.6,27.821052631578947,Good
M. SKJELMOSE,Lidl-Trek,Leaders,19,True,1.0,SKJELMOSE Mattias,24,623.0,1138.0,0,DK,Lidl - Trek,https://www.procyclingstats.com/rider/mattias-skjelmose-jensen,726.0,38.21052631578947,Excellent
E. ONLEY,Netcompany Ineos,Leaders,19,True,1.0,ONLEY Oscar,203,199.0,939.0,1,GB,Netcompany INEOS,https://www.procyclingstats.com/rider/oscar-onley,347.0,19.176315789473687,Good
E. MAS NICOLAU,Movistar Team,Leaders,19,True,1.0,MAS Enric,230,176.0,204.0,0,ES,Movistar Team,https://www.procyclingstats.com/rider/enric-mas,181.6,9.557894736842105,Average
K. GROVES,Alpecin-Premier Tech,Sprinters,19,True,0.995,GROVES Kaden,1437,7.0,232.0,0,AU,Alpecin - Premier Tech,https://www.procyclingstats.com/rider/kaden-groves,52.0,2.736842105263158,Poor
T. JOHANNESSEN,Uno-X Mobility,Leaders,18,True,1.0,JOHANNESSEN Tobias Halland,12,867.0,1281.0,0,NO,Uno-X Mobility,https://www.procyclingstats.com/rider/tobias-halland-johannessen,949.8,52.766666666666666,Excellent
B. TURNER,Netcompany Ineos,Sprinters,18,True,1.0,TURNER Ben,214,189.0,498.0,0,GB,Netcompany INEOS,https://www.procyclingstats.com/rider/ben-turner,250.8,13.933333333333334,Average
C. RODRIGUEZ,Netcompany Ineos,Leaders,18,True,1.0,RODRÍGUEZ Carlos,175,223.0,237.0,1,ES,Netcompany INEOS,https://www.procyclingstats.com/rider/carlos-rodriguez-cano,225.8,13.171666666666667,Average
C. UIJTDEBROEKS,Movistar Team,Leaders,18,True,1.0,UIJTDEBROEKS Cian,89,339.0,862.0,0,BE,Movistar Team,https://www.procyclingstats.com/rider/cian-uijtdebroeks,443.6,24.644444444444446,Good
I. VAN WILDER,Soudal Quick-Step,Leaders,17,True,1.0,VAN WILDER Ilan,164,232.0,531.0,0,BE,Soudal Quick-Step,https://www.procyclingstats.com/rider/ilan-van-wilder,291.8,17.16470588235294,Good
J. MEEUS,Red Bull - BORA - hansgrohe,Sprinters,17,True,1.0,MEEUS Jordi,25,608.0,1039.0,4,BE,Red Bull - BORA - hansgrohe,https://www.procyclingstats.com/rider/jordi-meeus,694.2,49.00235294117647,Excellent
A. DAINESE,Soudal Quick-Step,Sprinters,17,True,1.0,DAINESE Alberto,562,58.0,227.0,0,IT,Soudal Quick-Step,https://www.procyclingstats.com/rider/alberto-dainese,91.8,5.3999999999999995,Poor
S. KUSS,Team Visma | Lease a Bike,Climbers,17,True,1.0,KUSS Sepp,130,268.0,730.0,1,US,Team Visma | Lease a Bike,https://www.procyclingstats.com/rider/sepp-kuss,360.4,22.26,Good
M. LANDA MEANA,Soudal Quick-Step,Leaders,17,True,1.0,LANDA Mikel,714,40.0,177.0,0,ES,Soudal Quick-Step,https://www.procyclingstats.com/rider/mikel-landa,67.4,3.9647058823529413,Poor
S. BUITRAGO SANCHEZ,Bahrain Victorious,Leaders,17,True,1.0,BUITRAGO Santiago,86,348.0,575.0,1,CO,Bahrain - Victorious,https://www.procyclingstats.com/rider/santiago-buitrago-sanchez,393.4,24.298235294117646,Good
J. NORDHAGEN,Team Visma | Lease a Bike,Climbers,16,True,1.0,NORDHAGEN Jørgen,65,398.0,571.0,0,NO,Team Visma | Lease a Bike,https://www.procyclingstats.com/rider/jorgen-nordhagen,432.6,27.0375,Good
I. ROMEO ABAD,Movistar Team,All-rounders,16,True,1.0,ROMEO Iván,69,392.0,518.0,3,ES,Movistar Team,https://www.procyclingstats.com/rider/ivan-romeo,417.2,29.98625,Great
L. BISIAUX,Decathlon CMA CGM Team,Climbers,16,True,1.0,BISIAUX Léo,156,242.0,420.0,0,FR,Decathlon CMA CGM Team,https://www.procyclingstats.com/rider/leo-bisiaux,277.6,17.35,Good
J. TARLING,Netcompany Ineos,All-rounders,16,True,1.0,TARLING Joshua,364,106.0,201.0,1,GB,Netcompany INEOS,https://www.procyclingstats.com/rider/joshua-tarling,125.0,8.203125,Poor
G. MARTIN GUYONNET,Groupama-FDJ United,Leaders,16,True,1.0,MARTIN Guillaume,173,225.0,369.0,0,FR,Groupama - FDJ United,https://www.procyclingstats.com/rider/guillaume-martin,253.8,15.8625,Average
D. MARTINEZ POVEDA,Red Bull - BORA - hansgrohe,Climbers,16,True,1.0,MARTÍNEZ Daniel Felipe,88,342.0,347.0,0,CO,Red Bull - BORA - hansgrohe,https://www.procyclingstats.com/rider/daniel-felipe-martinez,343.0,21.4375,Good
M. RICCITELLO,Decathlon CMA CGM Team,Leaders,16,True,1.0,RICCITELLO Matthew,31,540.0,981.0,4,US,Decathlon CMA CGM Team,https://www.procyclingstats.com/rider/matthew-riccitello,628.2,47.115,Excellent
P. CASTRILLO ZAPATER,Movistar Team,Climbers,16,True,1.0,CASTRILLO Pablo,282,144.0,258.0,1,ES,Movistar Team,https://www.procyclingstats.com/rider/pablo-castrillo-zapater,166.8,10.946250000000001,Average
V. PARET PEINTRE,Soudal Quick-Step,Climbers,16,True,1.0,PARET-PEINTRE Valentin,93,332.0,495.0,0,FR,Soudal Quick-Step,https://www.procyclingstats.com/rider/valentin-paret-peintre,364.6,22.7875,Good
H. TEJADA CANACUE,XDS Astana Team,Leaders,16,True,1.0,TEJADA Harold,76,370.0,650.0,1,CO,XDS Astana Team,https://www.procyclingstats.com/rider/harold-tejada,426.0,27.95625,Good
J. VINE,UAE Team Emirates XRG,Climbers,16,True,1.0,VINE Jay,95,328.0,1092.0,0,AU,UAE Team Emirates - XRG,https://www.procyclingstats.com/rider/jay-vine,480.8,30.05,Great
A. VALTER,Bahrain Victorious,Climbers,16,True,1.0,VALTER Attila,378,101.0,135.0,0,HU,Bahrain - Victorious,https://www.procyclingstats.com/rider/attila-valter,107.8,6.7375,Poor
B. COQUARD,Cofidis,Sprinters,16,True,1.0,COQUARD Bryan,100,317.0,411.0,0,FR,Cofidis,https://www.procyclingstats.com/rider/bryan-coquard,335.8,20.9875,Good
M. VAN GILS,Red Bull - BORA - hansgrohe,Climbers,15,True,1.0,VAN GILS Maxim,283,144.0,280.0,2,BE,Red Bull - BORA - hansgrohe,https://www.procyclingstats.com/rider/maxim-van-gils,171.2,12.554666666666666,Average
T. NYS,Lidl-Trek,Sprinters,15,True,1.0,NYS Thibau,725,39.0,80.0,0,BE,Lidl - Trek,https://www.procyclingstats.com/rider/thibau-nys,47.2,3.146666666666667,Poor
B. TULETT,Team Visma | Lease a Bike,Climbers,15,True,1.0,TULETT Ben,72,376.0,614.0,1,GB,Team Visma | Lease a Bike,https://www.procyclingstats.com/rider/ben-tulett,423.6,29.652000000000005,Great
R. GARCIA PIERNA,Movistar Team,All-rounders,15,True,1.0,GARCÍA PIERNA Raúl,215,186.0,325.0,1,ES,Movistar Team,https://www.procyclingstats.com/rider/raul-garcia-pierna,213.8,14.966000000000001,Average
I. IZAGIRRE INSAUSTI,Cofidis,Leaders,15,True,1.0,IZAGIRRE Ion,22,707.0,934.0,1,ES,Cofidis,https://www.procyclingstats.com/rider/ion-izagirre,752.4,52.668,Excellent
C. HARPER,Pinarello-Q.36.5 Pro Cycling Team,Climbers,15,True,1.0,HARPER Chris,113,289.0,294.0,0,AU,Pinarello Q36.5 Pro Cycling Team,https://www.procyclingstats.com/rider/chris-harper,290.0,19.333333333333332,Good
P. BITTNER,Team Picnic PostNL,Sprinters,15,True,1.0,BITTNER Pavel,150,248.0,786.0,0,CZ,Team Picnic PostNL,https://www.procyclingstats.com/rider/pavel-bittner,355.6,23.706666666666667,Good
N. QUINTANA,Movistar Team,Climbers,15,True,1.0,QUINTANA Nairo,136,260.0,275.0,0,CO,Movistar Team,https://www.procyclingstats.com/rider/nairo-quintana,263.0,17.533333333333335,Good
L. FORTUNATO,XDS Astana Team,Leaders,15,True,1.0,FORTUNATO Lorenzo,204,199.0,386.0,0,IT,XDS Astana Team,https://www.procyclingstats.com/rider/lorenzo-fortunato,236.4,15.76,Average
C. RODRIGUEZ MARTIN,XDS Astana Team,Climbers,15,True,1.0,RODRÍGUEZ Cristián,132,265.0,375.0,0,ES,XDS Astana Team,https://www.procyclingstats.com/rider/cristian-rodriguez,287.0,19.133333333333333,Good
E. RUBIO REYES,Movistar Team,Climbers,15,True,1.0,RUBIO Einer,374,103.0,204.0,0,CO,Movistar Team,https://www.procyclingstats.com/rider/einer-rubio,123.2,8.213333333333333,Poor
P. SIVAKOV,UAE Team Emirates XRG,Climbers,15,True,1.0,SIVAKOV Pavel,643,47.0,493.0,0,FR,UAE Team Emirates - XRG,https://www.procyclingstats.com/rider/pavel-sivakov,136.2,9.08,Poor
O. AULAR SANABRIA,Movistar Team,Sprinters,15,True,1.0,AULAR Orluis,188,212.0,412.0,0,VE,Movistar Team,https://www.procyclingstats.com/rider/orluis-aular,252.0,16.8,Good
L. PLAPP,Team Jayco AlUla,Climbers,14,True,1.0,PLAPP Luke,35,530.0,781.0,0,AU,Team Jayco AlUla,https://www.procyclingstats.com/rider/luke-plapp,580.2,41.44285714285714,Excellent
M. MATTHEWS,Team Jayco AlUla,Sprinters,14,True,1.0,MATTHEWS Michael,351,109.0,392.0,1,AU,Team Jayco AlUla,https://www.procyclingstats.com/rider/michael-matthews,165.6,12.42,Average
P. BILBAO LOPEZ DE ARMENTIA,Bahrain Victorious,Climbers,14,True,1.0,BILBAO Pello,59,419.0,713.0,0,ES,Bahrain - Victorious,https://www.procyclingstats.com/rider/pello-bilbao,477.8,34.128571428571426,Great
B. GILMORE,NSN Cycling Team,Sprinters,14,True,1.0,GILMORE Brady,111,295.0,349.0,0,AU,NSN Cycling Team,https://www.procyclingstats.com/rider/brady-gilmore,305.8,21.842857142857145,Good
S. KÜNG,Tudor Pro Cycling Team,All-rounders,14,True,1.0,KÜNG Stefan,997,20.0,180.0,0,CH,Tudor Pro Cycling Team,https://www.procyclingstats.com/rider/stefan-kung,52.0,3.7142857142857144,Poor
E. DUNBAR,Pinarello-Q.36.5 Pro Cycling Team,Leaders,14,True,1.0,DUNBAR Eddie,1049,18.0,153.0,0,IE,Pinarello Q36.5 Pro Cycling Team,https://www.procyclingstats.com/rider/edward-irl-dunbar,45.0,3.2142857142857144,Poor
G. Mühlberger,Decathlon CMA CGM Team,Climbers,14,True,1.0,MÜHLBERGER Gregor,321,123.0,297.0,0,AT,Decathlon CMA CGM Team,https://www.procyclingstats.com/rider/gregor-muhlberger,157.8,11.271428571428572,Average
S. KRUIJSWIJK,Team Visma | Lease a Bike,Climbers,14,True,1.0,KRUIJSWIJK Steven,911,25.0,30.0,0,NL,Team Visma | Lease a Bike,https://www.procyclingstats.com/rider/steven-kruijswijk,26.0,1.8571428571428572,Poor
L. DE PLUS,Netcompany Ineos,Climbers,14,True,1.0,DE PLUS Laurens,816,32.0,32.0,0,BE,Netcompany INEOS,https://www.procyclingstats.com/rider/laurens-de-plus,32.0,2.2857142857142856,Poor
B. ARMIRAIL,Team Visma | Lease a Bike,All-rounders,14,True,1.0,ARMIRAIL Bruno,457,76.0,382.0,1,FR,Team Visma | Lease a Bike,https://www.procyclingstats.com/rider/bruno-armirail,137.2,10.29,Average
M. GOVEKAR,Bahrain Victorious,Sprinters,14,True,1.0,GOVEKAR Matevž,383,99.0,127.0,0,SI,Bahrain - Victorious,https://www.procyclingstats.com/rider/matevz-govekar,104.6,7.471428571428571,Poor
C. LAPORTE,Team Visma | Lease a Bike,All-rounders,13,True,1.0,LAPORTE Christophe,30,554.0,824.0,0,FR,Team Visma | Lease a Bike,https://www.procyclingstats.com/rider/christophe-laporte,608.0,46.76923076923077,Excellent
P. DOUBLE,Team Jayco AlUla,Climbers,13,True,1.0,DOUBLE Paul,407,91.0,519.0,0,GB,Team Jayco AlUla,https://www.procyclingstats.com/rider/paul-double,176.6,13.584615384615384,Average
A. LEKNESSUND,Uno-X Mobility,All-rounders,13,True,1.0,LEKNESSUND Andreas,64,403.0,581.0,0,NO,Uno-X Mobility,https://www.procyclingstats.com/rider/andreas-leknessund,438.6,33.73846153846154,Great
M. CORT NIELSEN,Uno-X Mobility,Sprinters,13,True,1.0,CORT Magnus,256,159.0,184.0,2,DK,Uno-X Mobility,https://www.procyclingstats.com/rider/magnus-cort-nielsen,164.0,13.876923076923077,Average
P. TORRES ARIAS,UAE Team Emirates XRG,Climbers,13,True,1.0,TORRES Pablo,982,21.0,29.0,0,ES,UAE Team Emirates - XRG,https://www.procyclingstats.com/rider/pablo-torres-arias,22.6,1.7384615384615385,Poor
L. TUCKWELL,Red Bull - BORA - hansgrohe,Climbers,13,True,1.0,TUCKWELL Luke,85,349.0,354.0,0,AU,Red Bull - BORA - hansgrohe,https://www.procyclingstats.com/rider/luke-tuckwell,350.0,26.923076923076923,Good
J. WIDAR,Lotto Intermarché,Climbers,13,True,1.0,WIDAR Jarno,379,100.0,209.0,0,BE,Lotto Intermarché,https://www.procyclingstats.com/rider/jarno-widar,121.8,9.36923076923077,Average
V. MADOUAS,Groupama-FDJ United,All-rounders,13,True,1.0,MADOUAS Valentin,434,83.0,315.0,0,FR,Groupama - FDJ United,https://www.procyclingstats.com/rider/valentin-madouas,129.4,9.953846153846154,Average
R. DEBRUYNE,Alpecin-Premier Tech,Climbers,13,True,1.0,DEBRUYNE Ramses,285,143.0,209.0,0,BE,Alpecin - Premier Tech,https://www.procyclingstats.com/rider/ramses-debruyne,156.2,12.015384615384615,Average
M. FRIGO,NSN Cycling Team,Climbers,13,True,1.0,FRIGO Marco,409,90.0,340.0,0,IT,NSN Cycling Team,https://www.procyclingstats.com/rider/marco-frigo,140.0,10.76923076923077,Average
U. BERRADE FERNANDEZ,Equipo Kern Pharma,Leaders,13,True,1.0,BERRADE Urko,253,160.0,305.0,0,ES,Equipo Kern Pharma,https://www.procyclingstats.com/rider/urko-berrade-fernandez,189.0,14.538461538461538,Average
C. BERTHET,Groupama-FDJ United,Climbers,13,True,1.0,BERTHET Clément,397,93.0,200.0,0,FR,Groupama - FDJ United,https://www.procyclingstats.com/rider/clement-berthet,114.4,8.8,Poor
C. CHAMPOUSSIN,XDS Astana Team,Climbers,13,True,1.0,CHAMPOUSSIN Clément,78,365.0,500.0,0,FR,XDS Astana Team,https://www.procyclingstats.com/rider/clement-champoussin,392.0,30.153846153846153,Great
F. FISHER - BLACK,Red Bull - BORA - hansgrohe,Climbers,13,True,1.0,FISHER-BLACK Finn,225,179.0,228.0,1,NZ,Red Bull - BORA - hansgrohe,https://www.procyclingstats.com/rider/finn-fisher-black,188.8,15.249230769230772,Average
S. CRAS,Soudal Quick-Step,Climbers,13,True,1.0,CRAS Steff,654,46.0,90.0,0,BE,Soudal Quick-Step,https://www.procyclingstats.com/rider/steff-cras,54.8,4.2153846153846155,Poor
F. ZANA,Soudal Quick-Step,Climbers,13,True,1.0,ZANA Filippo,54,441.0,619.0,0,IT,Soudal Quick-Step,https://www.procyclingstats.com/rider/filippo-zana,476.6,36.66153846153846,Excellent
J. LOPEZ PEREZ,Movistar Team,Climbers,13,True,1.0,LÓPEZ Juan Pedro,595,54.0,59.0,0,ES,Movistar Team,https://www.procyclingstats.com/rider/juan-pedro-lopez,55.0,4.230769230769231,Poor
G. STEINHAUSER,EF Education - Easypost,All-rounders,13,True,1.0,STEINHAUSER Georg,117,288.0,288.0,1,DE,EF Education - EasyPost,https://www.procyclingstats.com/rider/georg-steinhauser,288.0,23.26153846153846,Good
A. FAGUNDEZ LIMA,Burgos Burpellet-BH,Leaders,13,True,1.0,FAGÚNDEZ Eric Antonio,166,229.0,311.0,0,UY,Burgos Burpellet BH,https://www.procyclingstats.com/rider/eric-antonio-fagundez,245.4,18.876923076923077,Good
J. DIAZ GALLEGO,Burgos Burpellet-BH,Climbers,13,True,1.0,DÍAZ José Manuel,269,153.0,207.0,0,ES,Burgos Burpellet BH,https://www.procyclingstats.com/rider/jose-manuel-diaz-gallego,163.8,12.600000000000001,Average
L. KÄMNA,Lidl-Trek,Climbers,13,True,1.0,KÄMNA Lennard,721,39.0,69.0,0,DE,Lidl - Trek,https://www.procyclingstats.com/rider/lennard-kamna,45.0,3.4615384615384617,Poor
S. HIGUITA GARCIA,XDS Astana Team,Climbers,13,True,1.0,HIGUITA Sergio,109,297.0,544.0,0,CO,XDS Astana Team,https://www.procyclingstats.com/rider/sergio-higuita,346.4,26.646153846153844,Good
D. DE LA CRUZ MELGAREJO,Pinarello-Q.36.5 Pro Cycling Team,Climbers,13,True,1.0,DE LA CRUZ David,295,137.0,246.0,0,ES,Pinarello Q36.5 Pro Cycling Team,https://www.procyclingstats.com/rider/david-de-la-cruz,158.8,12.215384615384616,Average
J. OMRZEL,Bahrain Victorious,Climbers,12,True,1.0,OMRZEL Jakob,153,244.0,293.0,0,SI,Bahrain - Victorious,https://www.procyclingstats.com/rider/jakob-omrzel,253.8,21.150000000000002,Good
I. SOSA CUERVO,Equipo Kern Pharma,Climbers,12,True,1.0,SOSA Iván Ramiro,152,245.0,245.0,0,CO,Equipo Kern Pharma,https://www.procyclingstats.com/rider/ivan-ramiro-sosa,245.0,20.416666666666668,Good
K. VERMAERKE,UAE Team Emirates XRG,All-rounders,12,True,1.0,VERMAERKE Kevin,273,150.0,349.0,0,US,UAE Team Emirates - XRG,https://www.procyclingstats.com/rider/kevin-vermaerke,189.8,15.816666666666668,Average
M. CAMPRUBI  PIJUAN,Pinarello-Q.36.5 Pro Cycling Team,All-rounders,12,True,1.0,CAMPRUBÍ Marcel,308,130.0,158.0,1,ES,Pinarello Q36.5 Pro Cycling Team,https://www.procyclingstats.com/rider/marcel-camprubi,135.6,11.865,Average
E. HAYTER,Soudal Quick-Step,Sprinters,12,True,1.0,HAYTER Ethan,652,46.0,144.0,0,GB,Soudal Quick-Step,https://www.procyclingstats.com/rider/ethan-hayter,65.6,5.466666666666666,Poor
R. ADRIA OLIVERAS,Movistar Team,Climbers,12,True,1.0,ADRIÀ Roger,569,57.0,184.0,0,ES,Movistar Team,https://www.procyclingstats.com/rider/roger-adria,82.4,6.866666666666667,Poor
P. KONRAD,Lidl-Trek,All-rounders,12,True,0.988,KONRAD Patrick,762,35.0,51.0,0,AT,Lidl - Trek,https://www.procyclingstats.com/rider/patrick-konrad,38.2,3.1833333333333336,Poor
L. ROTA,Lotto Intermarché,All-rounders,12,True,1.0,ROTA Lorenzo,480,71.0,105.0,0,IT,Lotto Intermarché,https://www.procyclingstats.com/rider/lorenzo-rota,77.8,6.483333333333333,Poor
G. BENNETT,NSN Cycling Team,Climbers,12,True,1.0,BENNETT George,270,152.0,164.0,1,NZ,NSN Cycling Team,https://www.procyclingstats.com/rider/george-bennett,154.4,13.510000000000002,Average
H. HOFSTETTER,NSN Cycling Team,Sprinters,12,True,1.0,HOFSTETTER Hugo,205,196.0,220.0,0,FR,NSN Cycling Team,https://www.procyclingstats.com/rider/hugo-hofstetter,200.8,16.733333333333334,Good
A. KRON,Uno-X Mobility,All-rounders,12,True,1.0,KRON Andreas,127,268.0,302.0,0,DK,Uno-X Mobility,https://www.procyclingstats.com/rider/andreas-kron,274.8,22.900000000000002,Good
J. HERRADA,Burgos Burpellet-BH,All-rounders,12,True,0.995,HERRADA Jesús,305,131.0,221.0,0,ES,Burgos Burpellet BH,https://www.procyclingstats.com/rider/jesus-herrada-lopez,149.0,12.416666666666666,Average
V. LANGELLOTTI,XDS Astana Team,Climbers,12,True,0.846,LANGELLOTTI Victor,775,35.0,264.0,0,MC,Netcompany INEOS,https://www.procyclingstats.com/rider/victor-langellotti,80.8,6.733333333333333,Poor
E. BUCHMANN,Cofidis,Climbers,12,True,1.0,BUCHMANN Emanuel,,0.0,75.0,0,,,,15.0,1.25,Poor
A. LUTSENKO,NSN Cycling Team,All-rounders,12,True,1.0,LUTSENKO Alexey,,0.0,30.0,0,,,,6.0,0.5,Poor
F. CONCA,Team Jayco AlUla,Climbers,11,False,0.0,,,0,0,0,,,,0,0,Unknown
H. MULUEBERHAN,XDS Astana Team,Climbers,11,True,1.0,MULUBRHAN Henok,99,317.0,612.0,0,ER,XDS Astana Team,https://www.procyclingstats.com/rider/henok-mulubrhan,376.0,34.18181818181818,Great
M. MAYRHOFER,Tudor Pro Cycling Team,Sprinters,11,True,1.0,MAYRHOFER Marius,780,35.0,220.0,0,DE,Tudor Pro Cycling Team,https://www.procyclingstats.com/rider/marius-mayrhofer,72.0,6.545454545454546,Poor
G. VERMEERSCH,Red Bull - BORA - hansgrohe,All-rounders,11,True,1.0,VERMEERSCH Gianni,119,282.0,345.0,0,BE,Red Bull - BORA - hansgrohe,https://www.procyclingstats.com/rider/gianni-vermeersch,294.6,26.781818181818185,Good
N. SCHULTZ,NSN Cycling Team,Climbers,11,True,1.0,SCHULTZ Nick,618,50.0,69.0,0,AU,NSN Cycling Team,https://www.procyclingstats.com/rider/nick-schultz,53.8,4.890909090909091,Poor
P. Øxenberg,Netcompany Ineos,Climbers,11,True,1.0,ØXENBERG Peter,694,41.0,53.0,0,DK,Netcompany INEOS,https://www.procyclingstats.com/rider/peter-oxenberg-hansen,43.4,3.9454545454545453,Poor
M. SCHACHMANN,Soudal Quick-Step,All-rounders,11,True,1.0,SCHACHMANN Maximilian,537,62.0,107.0,0,DE,Soudal Quick-Step,https://www.procyclingstats.com/rider/maximilian-schachmann,71.0,6.454545454545454,Poor
L. SLOCK,Lotto Intermarché,All-rounders,11,True,1.0,SLOCK Liam,199,202.0,227.0,1,BE,Lotto Intermarché,https://www.procyclingstats.com/rider/liam-slock,207.0,19.759090909090908,Good
L. CRAPS,Lotto Intermarché,All-rounders,11,True,1.0,CRAPS Lars,583,56.0,130.0,0,BE,Lotto Intermarché,https://www.procyclingstats.com/rider/lars-craps,70.8,6.4363636363636365,Poor
S. CHUMIL GONZALEZ,Burgos Burpellet-BH,Climbers,11,True,1.0,CHUMIL Sergio Geovani,359,107.0,177.0,0,GT,Burgos Burpellet BH,https://www.procyclingstats.com/rider/sergio-geovani-chumil-gonzalez,121.0,11.0,Average
M. APARICIO MUÑOZ,Burgos Burpellet-BH,Climbers,11,True,1.0,APARICIO Mario,693,41.0,99.0,0,ES,Burgos Burpellet BH,https://www.procyclingstats.com/rider/mario-aparicio-munoz,52.6,4.781818181818182,Poor
L. ROULAND,Cofidis,Climbers,11,True,1.0,ROULAND Louis,449,78.0,163.0,0,FR,Cofidis,https://www.procyclingstats.com/rider/louis-rouland,95.0,8.636363636363637,Poor
B. RIVERA VARGAS,Netcompany Ineos,Climbers,11,True,1.0,RIVERA Brandon Smith,375,102.0,130.0,0,CO,Netcompany INEOS,https://www.procyclingstats.com/rider/brandon-smith-rivera-vargas,107.6,9.781818181818181,Average
M. BRUSTENGA MASAGUE,Equipo Kern Pharma,Sprinters,11,True,1.0,BRUSTENGA Marc,320,123.0,144.0,0,ES,Equipo Kern Pharma,https://www.procyclingstats.com/rider/marc-brustenga-masague,127.2,11.563636363636364,Average
C. CANAL BLANCO,Movistar Team,All-rounders,11,True,1.0,CANAL Carlos,120,282.0,427.0,0,ES,Movistar Team,https://www.procyclingstats.com/rider/carlos-canal,311.0,28.272727272727273,Good
Q. PACHER,Groupama-FDJ United,All-rounders,11,True,1.0,PACHER Quentin,476,72.0,97.0,0,FR,Groupama - FDJ United,https://www.procyclingstats.com/rider/quentin-pacher,77.0,7.0,Poor
I. RUIZ SEDANO,Equipo Kern Pharma,All-rounders,11,True,1.0,RUIZ Ibon,96,325.0,331.0,0,ES,Equipo Kern Pharma,https://www.procyclingstats.com/rider/ibon-ruiz,326.2,29.654545454545453,Great
Y. FEDOROV,XDS Astana Team,All-rounders,11,True,1.0,FEDOROV Yevgeniy,101,315.0,440.0,0,KZ,XDS Astana Team,https://www.procyclingstats.com/rider/yevgeniy-fedorov,340.0,30.90909090909091,Great
L. VERVAEKE,Soudal Quick-Step,All-rounders,11,True,1.0,VERVAEKE Louis,610,51.0,121.0,1,BE,Soudal Quick-Step,https://www.procyclingstats.com/rider/louis-vervaeke,65.0,6.204545454545455,Poor
S. MONIQUET,Cofidis,Climbers,11,True,1.0,MONIQUET Sylvain,936,24.0,169.0,0,BE,Cofidis,https://www.procyclingstats.com/rider/sylvain-moniquet,53.0,4.818181818181818,Poor
J. BERNARD,Lidl-Trek,All-rounders,11,True,1.0,BERNARD Julien,483,71.0,151.0,0,FR,Lidl - Trek,https://www.procyclingstats.com/rider/julien-bernard,87.0,7.909090909090909,Poor
M. VAN DEN BERG,EF Education - Easypost,Sprinters,11,True,1.0,VAN DEN BERG Marijn,339,115.0,189.0,0,NL,EF Education - EasyPost,https://www.procyclingstats.com/rider/marijn-van-den-berg,129.8,11.8,Average
R. ROCHAS,Groupama-FDJ United,Climbers,11,True,0.995,ROCHAS Rémy,849,30.0,86.0,0,FR,Groupama - FDJ United,https://www.procyclingstats.com/rider/remy-rochas,41.2,3.7454545454545456,Poor
L. WARBASSE,Tudor Pro Cycling Team,All-rounders,11,True,1.0,WARBASSE Larry,630,49.0,111.0,0,US,Tudor Pro Cycling Team,https://www.procyclingstats.com/rider/lawrence-warbasse,61.4,5.581818181818182,Poor
A. COVI,Team Jayco AlUla,All-rounders,10,True,1.0,COVI Alessandro,475,72.0,103.0,0,IT,Team Jayco AlUla,https://www.procyclingstats.com/rider/alessandro-covi,78.2,7.82,Poor
