name,points_12m
POGAČAR Tadej,4744.0
VINGEGAARD Jonas,3405.0
DEL TORO Isaac,2901.0
EVENEPOEL Remco,2426.0
DE LIE Arnaud,1803.0
PHILIPSEN Jasper,1752.0
PIDCOCK Tom,1709.0
MAGNIER Paul,1671.0
GALL Felix,1566.0
LIPOWITZ Florian,1559.0
SEIXAS Paul,1545.0
VAN DER POEL Mathieu,1503.0
ANDRESEN Tobias Lund,1376.0
SCARONI Christian,1353.0
SCHMID Mauro,1307.0
GRÉGOIRE Romain,1289.0
JOHANNESSEN Tobias Halland,1281.0
PELLIZZARI Giulio,1271.0
VAN AERT Wout,1244.0
MCNULTY Brandon,1199.0
MARTINEZ Lenny,1157.0
SKJELMOSE Mattias,1138.0
MILAN Jonathan,1133.0
ARENSMAN Thymen,1132.0
CICCONE Giulio,1124.0
VINE Jay,1092.0
PEDERSEN Mads,1091.0
JORGENSON Matteo,1084.0
MEEUS Jordi,1039.0
GODON Dorian,991.0
RICCITELLO Matthew,981.0
NARVÁEZ Jhonatan,971.0
CHRISTEN Jan,960.0
HINDLEY Jai,942.0
ONLEY Oscar,939.0
IZAGIRRE Ion,934.0
ROGLIČ Primož,921.0
BERNAL Egan,919.0
GROENEWEGEN Dylan,918.0
HEALY Ben,908.0
PITHIE Laurence,900.0
STORER Michael,898.0
MERLIER Tim,889.0
AYUSO Juan,885.0
ALMEIDA João,878.0
VAUQUELIN Kévin,865.0
UIJTDEBROEKS Cian,862.0
BRENNAN Matthew,839.0
COSNEFROY Benoît,838.0
LAPORTE Christophe,824.0
YATES Adam,817.0
GIRMAY Biniam,816.0
KUBIŠ Lukáš,811.0
STRONG Corbin,793.0
BITTNER Pavel,786.0
PLAPP Luke,781.0
RONDEL Mathys,778.0
ARANBURU Alex,770.0
JEANNIÈRE Emilien,758.0
WÆRENSKJOLD Søren,756.0
TIBERI Antonio,751.0
STUYVEN Jasper,730.0
KUSS Sepp,730.0
SILVA Guillermo Thomas,728.0
BILBAO Pello,713.0
BAUDIN Alex,702.0
LAPEIRA Paul,697.0
O'CONNOR Ben,679.0
KOOIJ Olav,666.0
PIGANZOLI Davide,653.0
TEJADA Harold,650.0
TRENTIN Matteo,642.0
SHEEHAN Riley,642.0
MORGADO António,635.0
JEGAT Jordan,627.0
GANNA Filippo,622.0
ZANA Filippo,619.0
VENTURINI Clément,618.0
TULETT Ben,614.0
MULUBRHAN Henok,612.0
DELETTRE Alexandre,606.0
ALAPHILIPPE Julian,602.0
ANIOŁKOWSKI Stanisław,602.0
EULÁLIO Afonso,591.0
TESFATSION Natnael,587.0
ABRAHAMSEN Jonas,582.0
LEKNESSUND Andreas,581.0
VERNON Ethan,579.0
BUITRAGO Santiago,575.0
NORDHAGEN Jørgen,571.0
MALUCELLI Matteo,560.0
KANTER Max,556.0
CARAPAZ Richard,547.0
WRIGHT Fred,546.0
ARRIETA Igor,546.0
HIGUITA Sergio,544.0
SÖDERQVIST Jakob,541.0
DE SCHUYTENEER Steffen,539.0
VAN WILDER Ilan,531.0
VERMEERSCH Florian,526.0
DOUBLE Paul,519.0
SIMMONS Quinn,519.0
ROMEO Iván,518.0
WELLENS Tim,514.0
FANCELLU Alessandro,509.0
PENHOËT Paul,508.0
BETTIOL Alberto,507.0
VLASOV Aleksandr,501.0
CHAMPOUSSIN Clément,500.0
LECERF Junior,500.0
TURNER Ben,498.0
FOLDAGER Anders,498.0
GEE-WEST Derek,496.0
PARET-PEINTRE Valentin,495.0
SIVAKOV Pavel,493.0
BERCKMOES Jenno,490.0
SEGAERT Alec,490.0
VENDRAME Andrea,488.0
HERMANS Quinten,482.0
GRUEL Thibaud,482.0
ZAMBANINI Edoardo,478.0
HIRSCHI Marc,473.0
ULISSI Diego,470.0
TURGIS Anthony,461.0
SKUJIŅŠ Toms,459.0
VINOKUROV Nicolas,453.0
LONARDI Giovanni,447.0
FEDOROV Yevgeniy,440.0
RAJOVIĆ Dušan,439.0
MOZZATO Luca,439.0
BARRENETXEA Jon,439.0
KULSET Johannes,436.0
DEL GROSSO Tibor,434.0
VOISARD Yannis,433.0
BERWICK Sebastian,428.0
CANAL Carlos,427.0
BALLERINI Davide,424.0
COSTIOU Ewen,423.0
SOLER Marc,422.0
BISIAUX Léo,420.0
LAURANCE Axel,416.0
AULAR Orluis,412.0
COQUARD Bryan,411.0
VACEK Mathias,410.0
SOBRERO Matteo,405.0
DUJARDIN Sandy,402.0
GROßSCHARTNER Felix,398.0
MATTHEWS Michael,392.0
ASKEY Lewis,390.0
FORTUNATO Lorenzo,386.0
ARMIRAIL Bruno,382.0
FRETIN Milan,382.0
VAN POPPEL Danny,381.0
RODRÍGUEZ Cristián,375.0
TEUNISSEN Mike,373.0
COBO Iván,370.0
MARTIN Guillaume,369.0
VALGREN Michael,367.0
CHARMIG Anthon,366.0
VELASCO Simone,363.0
GUERIN Alexis,357.0
PRODHOMME Nicolas,355.0
TUCKWELL Luke,354.0
VERMAERKE Kevin,349.0
GILMORE Brady,349.0
WITHEN PHILIPSEN Albert,349.0
MARTÍNEZ Daniel Felipe,347.0
VERMEERSCH Gianni,345.0
RACCAGNI NOVIERO Andrea,343.0
MOSCHETTI Matteo,342.0
RENARD Alexis,342.0
FRIGO Marco,340.0
BERASATEGI Xabier,340.0
PINARELLO Alessandro,340.0
TRÆEN Torstein,339.0
PARET-PEINTRE Aurélien,337.0
HAGENES Per Strand,336.0
MOHORIČ Matej,333.0
MARIT Arne,333.0
RUIZ Ibon,331.0
SALBY Alexander,329.0
WATSON Samuel,327.0
GARCÍA PIERNA Raúl,325.0
ENGELHARDT Felix,320.0
CARUSO Damiano,317.0
MADOUAS Valentin,315.0
FAGÚNDEZ Eric Antonio,311.0
BAGIOLI Andrea,309.0
VAN DIJKE Tim,309.0
THIJSSEN Gerben,308.0
ZIMMERMANN Georg,307.0
GAUTHERAT Pierre,307.0
ISIDORE Noa,306.0
BERRADE Urko,305.0
DELBOVE Joris,304.0
CRESCIOLI Ludovico,304.0
KRON Andreas,302.0
DE GENDT Aimé,299.0
MÜHLBERGER Gregor,297.0
HONORÉ Mikkel Frølich,296.0
HARPER Chris,294.0
LAMPERTI Luke,294.0
SHEFFIELD Magnus,294.0
ROMO Javier,294.0
GRISEL Matys,293.0
OMRZEL Jakob,293.0
YATES Simon,292.0
TESSON Jason,291.0
OLIVER Ben,291.0
KOPECKÝ Matyáš,291.0
HUENS Axel,289.0
JOHANNESSEN Anders Halland,289.0
BLIKRA Erlend,288.0
STEINHAUSER Georg,288.0
TILLER Rasmus,286.0
MIQUEL Pau,283.0
DEWULF Stan,282.0
L'HOTE Antoine,282.0
MENTEN Milan,280.0
VAN GILS Maxim,280.0
POLITT Nils,278.0
VERSTRYNGE Emiel,276.0
QUINTANA Nairo,275.0
MILESI Lorenzo,274.0
MARIAULT Axel,273.0
BIESTERBOS Frits,271.0
MEURISSE Xandro,270.0
TOWNSEND Rory,270.0
CRABBE Tom,269.0
BENOOT Tiesj,268.0
KOGUT Oded,268.0
DVERSNES LAVIK Fredrik,268.0
GAROFOLI Gianmarco,267.0
ACKERMANN Pascal,266.0
KRAGH ANDERSEN Søren,265.0
SHMIDT Artem,265.0
BIERMANS Jenthe,264.0
LANGELLOTTI Victor,264.0
LARSEN Niklas,264.0
ETXEBERRIA Haimar,264.0
AUGUST Andrew,264.0
PEÑALVER Manuel,263.0
NYCH Artem,262.0
VANSEVENANT Mauri,261.0
PLUIMERS Rick,261.0
LEMMEN Bart,260.0
BOGUSŁAWSKI Marceli,258.0
HEIDUK Kim,258.0
CASTRILLO Pablo,258.0
MOLARD Rudy,257.0
POZZOVIVO Domenico,257.0
THOMAS Benjamin,257.0
CEPEDA Jefferson Alveiro,257.0
BRENNER Marco,257.0
GAVIRIA Fernando,256.0
NERURKAR Lukas,256.0
WELSFORD Sam,255.0
BONNEU Kamiel,253.0
CAMPENAERTS Victor,252.0
MIHKELS Madis,252.0
SVESTAD-BÅRDSENG Embret,251.0
ALLENO Clément,250.0
WENZEL Mats,250.0
PESCADOR Diego,250.0
DE LA CRUZ David,246.0
VAN DEN BROEK Frank,246.0
WALSCHEID Max,245.0
FOSS Tobias,245.0
SOSA Iván Ramiro,245.0
PERICAS Adrià,242.0
BAUHAUS Phil,241.0
MOLENAAR Alex,241.0
DE KLEIJN Arvid,240.0
GUALDI Simone,240.0
POWLESS Neilson,239.0
LOOCKX Lander,239.0
BRAZ AFONSO Clément,239.0
PESENTI Thomas,238.0
RODRÍGUEZ Carlos,237.0
FINN Lorenzo Mark,237.0
GARCÍA CORTINA Iván,236.0
HATHERLY Alan,236.0
BARCELÓ Fernando,235.0
GUDMESTAD Tord,234.0
GROVES Kaden,232.0
DONALDSON Robert,232.0
CHRISTEN Fabio,229.0
FISHER-BLACK Finn,228.0
PARRA José Félix,227.0
DAINESE Alberto,227.0
SLOCK Liam,227.0
PEÑA Jesús David,227.0
