rank,name,nationality,team,points,rider_url
1,POGAČAR Tadej,SI,UAE Team Emirates - XRG,2370.0,https://www.procyclingstats.com/rider/tadej-pogacar
2,ALMEIDA João,PT,UAE Team Emirates - XRG,1635.0,https://www.procyclingstats.com/rider/joao-almeida
3,PEDERSEN Mads,DK,Lidl - Trek,1632.0,https://www.procyclingstats.com/rider/mads-pedersen
4,VAN DER POEL Mathieu,NL,Alpecin - Deceuninck,1213.0,https://www.procyclingstats.com/rider/mathieu-van-der-poel
5,PIDCOCK Thomas,GB,Q36.5 Pro Cycling Team,1042.0,https://www.procyclingstats.com/rider/thomas-pidcock
6,AYUSO Juan,ES,UAE Team Emirates - XRG,989.0,https://www.procyclingstats.com/rider/juan-ayuso-pesquera
7,DEL TORO Isaac,MX,UAE Team Emirates - XRG,986.0,https://www.procyclingstats.com/rider/isaac-del-toro
8,VAUQUELIN Kévin,FR,Arkéa - B&B Hotels,957.0,https://www.procyclingstats.com/rider/kevin-vauquelin
9,ONLEY Oscar,GB,Team Picnic PostNL,906.0,https://www.procyclingstats.com/rider/oscar-onley
10,MERLIER Tim,BE,Soudal Quick-Step,899.0,https://www.procyclingstats.com/rider/tim-merlier
11,VAN AERT Wout,BE,Team Visma | Lease a Bike,859.0,https://www.procyclingstats.com/rider/wout-van-aert
12,GANNA Filippo,IT,INEOS Grenadiers,788.0,https://www.procyclingstats.com/rider/filippo-ganna
13,MILAN Jonathan,IT,Lidl - Trek,764.0,https://www.procyclingstats.com/rider/jonathan-milan
14,MARTINEZ Lenny,FR,Bahrain - Victorious,753.0,https://www.procyclingstats.com/rider/lenny-martinez
15,GEE Derek,CA,Israel - Premier Tech,731.0,https://www.procyclingstats.com/rider/derek-gee
16,EVENEPOEL Remco,BE,Soudal Quick-Step,728.0,https://www.procyclingstats.com/rider/remco-evenepoel
17,CICCONE Giulio,IT,Lidl - Trek,720.0,https://www.procyclingstats.com/rider/giulio-ciccone
18,BRENNAN Matthew,GB,Team Visma | Lease a Bike,716.0,https://www.procyclingstats.com/rider/matthew-brennan
19,PHILIPSEN Jasper,BE,Alpecin - Deceuninck,706.0,https://www.procyclingstats.com/rider/jasper-philipsen
20,SCARONI Christian,IT,XDS Astana Team,701.0,https://www.procyclingstats.com/rider/christian-scaroni
21,MAGNIER Paul,FR,Soudal Quick-Step,691.0,https://www.procyclingstats.com/rider/paul-magnier
22,STORER Michael,AU,Tudor Pro Cycling Team,687.0,https://www.procyclingstats.com/rider/michael-storer
23,JORGENSON Matteo,US,Team Visma | Lease a Bike,651.0,https://www.procyclingstats.com/rider/matteo-jorgenson
24,POWLESS Neilson,US,EF Education - EasyPost,650.0,https://www.procyclingstats.com/rider/neilson-powless
25,GRÉGOIRE Romain,FR,Groupama - FDJ,638.0,https://www.procyclingstats.com/rider/romain-gregoire1
26,YATES Simon,GB,Team Visma | Lease a Bike,636.0,https://www.procyclingstats.com/rider/simon-yates
27,FORTUNATO Lorenzo,IT,XDS Astana Team,624.0,https://www.procyclingstats.com/rider/lorenzo-fortunato
28,VINGEGAARD Jonas,DK,Team Visma | Lease a Bike,623.0,https://www.procyclingstats.com/rider/jonas-vingegaard
29,MAS Enric,ES,Movistar Team,619.0,https://www.procyclingstats.com/rider/enric-mas
30,LIPOWITZ Florian,DE,Red Bull - BORA - hansgrohe,616.0,https://www.procyclingstats.com/rider/florian-lipowitz
31,CARAPAZ Richard,EC,EF Education - EasyPost,612.0,https://www.procyclingstats.com/rider/richard-carapaz
32,KOOIJ Olav,NL,Team Visma | Lease a Bike,607.0,https://www.procyclingstats.com/rider/olav-kooij
33,SKJELMOSE Mattias,DK,Lidl - Trek,590.0,https://www.procyclingstats.com/rider/mattias-skjelmose-jensen
