rank,name,nationality,team,points,rider_url
1,POGAČAR Tadej,SI,UAE Team Emirates - XRG,3440.0,https://www.procyclingstats.com/rider/tadej-pogacar
2,EVENEPOEL Remco,BE,Red Bull - BORA - hansgrohe,2371.0,https://www.procyclingstats.com/rider/remco-evenepoel
3,DEL TORO Isaac,MX,UAE Team Emirates - XRG,2022.0,https://www.procyclingstats.com/rider/isaac-del-toro
4,VINGEGAARD Jonas,DK,Team Visma | Lease a Bike,1871.0,https://www.procyclingstats.com/rider/jonas-vingegaard
5,SEIXAS Paul,FR,Decathlon CMA CGM Team,1857.0,https://www.procyclingstats.com/rider/paul-seixas
6,PHILIPSEN Jasper,BE,Alpecin - Premier Tech,1542.0,https://www.procyclingstats.com/rider/jasper-philipsen
7,SCHMID Mauro,CH,Team Jayco AlUla,1333.0,https://www.procyclingstats.com/rider/mauro-schmid
8,MARTINEZ Lenny,FR,Bahrain - Victorious,1327.0,https://www.procyclingstats.com/rider/lenny-martinez
9,JOHANNESSEN Tobias Halland,NO,Uno-X Mobility,1261.0,https://www.procyclingstats.com/rider/tobias-halland-johannessen
10,PIDCOCK Tom,GB,Pinarello Q36.5 Pro Cycling Team,1251.0,https://www.procyclingstats.com/rider/tom-pidcock
11,VAN DER POEL Mathieu,NL,Alpecin - Premier Tech,1230.0,https://www.procyclingstats.com/rider/mathieu-van-der-poel
12,CARAPAZ Richard,EC,EF Education - EasyPost,1178.0,https://www.procyclingstats.com/rider/richard-carapaz
13,LIPOWITZ Florian,DE,Red Bull - BORA - hansgrohe,1154.0,https://www.procyclingstats.com/rider/florian-lipowitz
14,SKJELMOSE Mattias,DK,Lidl - Trek,1107.0,https://www.procyclingstats.com/rider/mattias-skjelmose-jensen
15,SCARONI Christian,IT,XDS Astana Team,1090.0,https://www.procyclingstats.com/rider/christian-scaroni
16,GALL Felix,AT,Decathlon CMA CGM Team,1070.0,https://www.procyclingstats.com/rider/felix-gall
17,ANDRESEN Tobias Lund,DK,Decathlon CMA CGM Team,1069.0,https://www.procyclingstats.com/rider/tobias-lund-andresen
18,VAN AERT Wout,BE,Team Visma | Lease a Bike,1069.0,https://www.procyclingstats.com/rider/wout-van-aert
19,MAGNIER Paul,FR,Soudal Quick-Step,1043.0,https://www.procyclingstats.com/rider/paul-magnier
20,PITHIE Laurence,NZ,Red Bull - BORA - hansgrohe,1003.0,https://www.procyclingstats.com/rider/laurence-pithie
21,PELLIZZARI Giulio,IT,Red Bull - BORA - hansgrohe,982.0,https://www.procyclingstats.com/rider/giulio-pellizzari
22,PEDERSEN Mads,DK,Lidl - Trek,893.0,https://www.procyclingstats.com/rider/mads-pedersen
23,AYUSO Juan,ES,Lidl - Trek,855.0,https://www.procyclingstats.com/rider/juan-ayuso-pesquera
24,SILVA Guillermo Thomas,UY,XDS Astana Team,852.0,https://www.procyclingstats.com/rider/guillermo-thomas-silva-coussan
25,COSNEFROY Benoît,FR,UAE Team Emirates - XRG,843.0,https://www.procyclingstats.com/rider/benoit-cosnefroy
26,GRÉGOIRE Romain,FR,Groupama - FDJ United,826.0,https://www.procyclingstats.com/rider/romain-gregoire
27,MERLIER Tim,BE,Soudal Quick-Step,783.0,https://www.procyclingstats.com/rider/tim-merlier
28,JORGENSON Matteo,US,Team Visma | Lease a Bike,776.0,https://www.procyclingstats.com/rider/matteo-jorgenson
29,MILAN Jonathan,IT,Lidl - Trek,769.0,https://www.procyclingstats.com/rider/jonathan-milan
30,CHRISTEN Jan,CH,UAE Team Emirates - XRG,765.0,https://www.procyclingstats.com/rider/jan-christen
31,ARENSMAN Thymen,NL,Netcompany INEOS,759.0,https://www.procyclingstats.com/rider/thymen-arensman
32,IZAGIRRE Ion,ES,Cofidis,737.0,https://www.procyclingstats.com/rider/ion-izagirre
33,GROENEWEGEN Dylan,NL,Unibet Rose Rockets,700.0,https://www.procyclingstats.com/rider/dylan-groenewegen
