pcs_name,wins_2026
POGAČAR Tadej,15
VINGEGAARD Jonas,14
MERLIER Tim,7
DEL TORO Isaac,12
PHILIPSEN Jasper,6
VAN DER POEL Mathieu,4
LIPOWITZ Florian,5
EVENEPOEL Remco,8
AYUSO Juan,2
SEIXAS Paul,11
YATES Adam,2
GIRMAY Biniam,4
CARAPAZ Richard,0
GANNA Filippo,5
ONLEY Oscar,1
PEDERSEN Mads,0
JORGENSON Matteo,1
PIDCOCK Tom,4
BUITRAGO Santiago,1
ARENSMAN Thymen,0
MEEUS Jordi,4
JOHANNESSEN Tobias Halland,0
SKJELMOSE Mattias,0
PIGANZOLI Davide,3
UIJTDEBROEKS Cian,0
RICCITELLO Matthew,4
GEE-WEST Derek,1
DE LIE Arnaud,2
TARLING Joshua,1
MCNULTY Brandon,0
KUSS Sepp,1
RODRÍGUEZ Carlos,1
BERNAL Egan,1
MARTÍNEZ Daniel Felipe,0
STORER Michael,0
HINDLEY Jai,0
MOHORIČ Matej,0
O'CONNOR Ben,0
TULETT Ben,1
TIBERI Antonio,1
NARVÁEZ Jhonatan,4
VAUQUELIN Kévin,1
STEWART Jake,0
ACKERMANN Pascal,0
HEALY Ben,0
MARTINEZ Lenny,3
MATTHEWS Michael,1
SIMMONS Quinn,2
CICCONE Giulio,2
ALAPHILIPPE Julian,0
KELDERMAN Wilco,1
BAUHAUS Phil,0
LANDA Mikel,0
AFFINI Edoardo,1
PARET-PEINTRE Valentin,0
FISHER-BLACK Finn,1
RUBIO Einer,0
FRETIN Milan,1
JEGAT Jordan,1
GAVIRIA Fernando,0
GRÉGOIRE Romain,3
GODON Dorian,7
SCHMID Mauro,5
CORT Magnus,2
BILBAO Pello,0
KANTER Max,1
FOLDAGER Anders,1
MOSCHETTI Matteo,1
STEINHAUSER Georg,1
HIGUITA Sergio,0
BITTNER Pavel,0
PLAPP Luke,0
BERCKMOES Jenno,0
KÄMNA Lennard,0
WATSON Samuel,2
ASKEY Lewis,0
RODRÍGUEZ Cristián,0
VAN WILDER Ilan,0
SIVAKOV Pavel,0
ARANBURU Alex,3
GAUDU David,0
MARTIN Guillaume,0
TEJADA Harold,1
LAMPERTI Luke,2
PARRA José Félix,0
VAN EETVELT Lennert,0
JEANNIÈRE Emilien,0
BALLERINI Davide,2
KRON Andreas,0
BISSEGGER Stefan,0
VALGREN Michael,2
PRODHOMME Nicolas,0
DE PLUS Laurens,0
WELLENS Tim,1
ABRAHAMSEN Jonas,0
TRENTIN Matteo,0
GROßSCHARTNER Felix,1
STUYVEN Jasper,0
VAN GILS Maxim,2
KWIATKOWSKI Michał,2
IZAGIRRE Ion,1
WRIGHT Fred,1
CEPEDA Jefferson Alveiro,0
CASTELLON Jan,0
CARUSO Damiano,0
VELASCO Simone,0
HIRSCHI Marc,0
CATTANEO Mattia,1
SCHACHMANN Maximilian,0
ROMEO Iván,3
CASTRILLO Pablo,1
LEKNESSUND Andreas,0
VAN DEN BROEK Frank,0
BRAET Vito,0
PAGE Hugo,0
BENNETT George,1
ARMIRAIL Bruno,1
CAMPENAERTS Victor,0
BERTHET Clément,0
WÆRENSKJOLD Søren,0
ASGREEN Kasper,0
BENOOT Tiesj,0
NEILANDS Krists,0
ZIMMERMANN Georg,1
MADOUAS Valentin,0
BOL Cees,0
KRAGH ANDERSEN Søren,0
HERMANS Quinten,0
PARET-PEINTRE Aurélien,0
GATE Aaron,0
HAGENES Per Strand,2
VAN DIJKE Tim,0
HOFSTETTER Hugo,0
VACEK Mathias,3
LABROSSE Jordan,0
BARCELÓ Fernando,0
BALDERSTONE Abel,0
VALTER Attila,0
DEBRUYNE Ramses,0
HOOLE Daan,0
BAUDIN Alex,1
THOMAS Benjamin,0
STANNARD Robert,0
COSTIOU Ewen,2
GUERNALEC Thibault,0
GARCÍA PIERNA Raúl,1
SCOTSON Callum,0
TURGIS Anthony,0
HAIG Jack,0
TRÆEN Torstein,0
BJERG Mikkel,0
CRAS Steff,0
HARPER Chris,0
HAMILTON Chris,0
DEGENKOLB John,0
BARGUIL Warren,0
MÜHLBERGER Gregor,0
VERMEERSCH Florian,0
VAN BAARLE Dylan,0
TEUNS Dylan,0
PACHER Quentin,0
POLITT Nils,1
CONCI Nicola,0
VOISARD Yannis,1
PLUIMERS Rick,0
BIESTERBOS Frits,0
ENGELHARDT Felix,2
COVI Alessandro,0
VAN ASBROECK Tom,0
SLOCK Liam,1
VEISTROFFER Baptiste,1
DELETTRE Alexandre,0
BARRÉ Louis,0
DE PESTEL Sander,0
CARR Simon,0
LE BERRE Mathis,0
VERSTRYNGE Emiel,0
VERCHER Mattéo,0
VAN MOER Brent,0
QUINN Sean,0
MEURISSE Xandro,0
VERMEERSCH Gianni,0
RUSSO Clément,0
OLIVEIRA Rui,0
PEDERSEN Casper,0
SKUJIŅŠ Toms,0
TEUNISSEN Mike,0
VINOKUROV Nicolas,1
DELBOVE Joris,0
KOERDT Bjorn,0
DE GENDT Aimé,0
HOWSON Damien,0
FRIGO Marco,0
HESSMANN Michel,0
CRAPS Lars,0
ARTZ Huub,1
GERMANI Lorenzo,0
NERURKAR Lukas,0
OTRUBA Jakub,0
BERWICK Sebastian,2
VAN MECHELEN Vlad,0
PLANCKAERT Edward,0
BRAZ AFONSO Clément,1
MAYRHOFER Marius,0
RAISBERG Nadav,2
SKAARSETH Anders,1
OLDANI Stefano,0
TRATNIK Jan,0
HALLER Marco,0
SHAW James,0
CHARMIG Anthon,1
BURGAUDEAU Mathieu,0
OLIVEIRA Nelson,0
