pcs_name,wins_2026
POGAČAR Tadej,21
VAN AERT Wout,9
PEDERSEN Mads,2
CARAPAZ Richard,3
ROGLIČ Primož,1
GALL Felix,2
ALMEIDA João,0
LIPOWITZ Florian,5
BRENNAN Matthew,8
SKJELMOSE Mattias,0
ONLEY Oscar,4
MAS Enric,0
GROVES Kaden,0
JOHANNESSEN Tobias Halland,0
TURNER Ben,0
RODRÍGUEZ Carlos,1
UIJTDEBROEKS Cian,0
VAN WILDER Ilan,0
MEEUS Jordi,4
DAINESE Alberto,0
KUSS Sepp,2
LANDA Mikel,0
BUITRAGO Santiago,1
NORDHAGEN Jørgen,2
ROMEO Iván,3
BISIAUX Léo,1
TARLING Joshua,1
MARTIN Guillaume,0
MARTÍNEZ Daniel Felipe,0
RICCITELLO Matthew,4
CASTRILLO Pablo,1
PARET-PEINTRE Valentin,0
TEJADA Harold,1
VINE Jay,3
VALTER Attila,0
COQUARD Bryan,2
VAN GILS Maxim,2
NYS Thibau,0
TULETT Ben,1
GARCÍA PIERNA Raúl,1
IZAGIRRE Ion,1
HARPER Chris,0
BITTNER Pavel,0
QUINTANA Nairo,2
FORTUNATO Lorenzo,0
RODRÍGUEZ Cristián,1
RUBIO Einer,0
SIVAKOV Pavel,0
GARCIA Erlin Antonio,1
PLAPP Luke,0
MATTHEWS Michael,1
BILBAO Pello,0
GILMORE Brady,1
KÜNG Stefan,1
DUNBAR Eddie,0
MÜHLBERGER Gregor,3
KRUIJSWIJK Steven,0
DE PLUS Laurens,0
ARMIRAIL Bruno,2
GOVEKAR Matevž,0
LAPORTE Christophe,1
DOUBLE Paul,0
LEKNESSUND Andreas,0
CORT Magnus,2
ARRIETA Igor,1
TUCKWELL Luke,0
WIDAR Jarno,0
MADOUAS Valentin,0
DEBRUYNE Ramses,0
FRIGO Marco,0
BERRADE Urko,0
BERTHET Clément,0
CHAMPOUSSIN Clément,0
FISHER-BLACK Finn,1
CRAS Steff,0
ZANA Filippo,2
LÓPEZ Juan Pedro,0
STEINHAUSER Georg,1
LIM BING YI Eamon,2
ALLENO Clément,1
KÄMNA Lennard,0
HIGUITA Sergio,0
MARTE Jesus Roniel,0
OMRZEL Jakob,1
GAMERO Alonso Miguel,1
VERMAERKE Kevin,1
CAMPRUBÍ Marcel,1
HAYTER Ethan,1
OLIVEIRA Rui,2
KONRAD Patrick,0
ROTA Lorenzo,0
BENNETT George,1
HOFSTETTER Hugo,0
KRON Andreas,0
HERRADA Jesús,0
LANGELLOTTI Victor,2
BUCHMANN Emanuel,0
LUTSENKO Alexey,0
CONCI Nicola,0
MULUBRHAN Henok,5
MAYRHOFER Marius,0
VERMEERSCH Gianni,0
SCHULTZ Nick,0
ØXENBERG Peter,1
SCHACHMANN Maximilian,0
SLOCK Liam,1
CRAPS Lars,0
GONZALEZ Jyven,1
MUÑOZ Hodei,0
ROULAND Louis,0
VARGAS Wálter,4
SALGUEIRO Carlos Miguel,1
MOLANO Juan Sebastián,1
PACHER Quentin,0
SERRANO Javier,0
FEDOROV Yevgeniy,4
VERVAEKE Louis,1
MONIQUET Sylvain,0
BERNARD Julien,0
VAN DEN BERG Marijn,0
ROCHAS Rémy,0
WARBASSE Larry,0
COVI Alessandro,0
BARTA Will,0
EEKHOFF Nils,0
THORNLEY Callum,0
VADER Milan,0
GLOAG Thomas,0
LAURANCE Axel,4
CAPRON Rémi,0
ALBANESE Vincenzo,0
RENARD Alexis,0
BURNETT Josh,6
HOULE Hugo,0
PICKERING Finlay,0
FERNÁNDEZ Samuel,0
GAROFOLI Gianmarco,0
AZPARREN Xabier Mikel,0
BIERMANS Jenthe,0
LEEMREIZE Gijs,0
TEUNS Dylan,0
RAFFERTY Darren,0
DEWULF Stan,0
NOVAK Domen,0
HAMILTON Chris,0
HIRT Jan,0
BOUWMAN Koen,0
MOLARD Rudy,0
BATTISTELLA Samuele,0
DALBY Simon,0
PORTER Rudy,0
PRIETO José Juan,1
HELLEMOSE Asbjørn,0
TILLER Rasmus,1
LAENGEN Vegard Stake,0
WILKSCH Hannes,0
ROJAS Gabriel Francisco,1
GAFFURI Mattia,0
CALZONI Walter,1
OGANDO Jonathan,0
SVESTAD-BÅRDSENG Embret,0
TRONCHON Bastien,0
WENZEL Mats,1
MACKELLAR Alastair,0
L'HOTE Antoine,3
BUSATTO Francesco,0
ROLLAND Brieuc,0
BJERG Mikkel,0
GLIVAR Gal,0
MULLEN Ryan,1
OOMEN Sam,0
PALENI Enzo,0
RETEGI Mikel,0
SHAW James,0
LABROSSE Jordan,0
LIEPIŅŠ Emīls,0
OLIVEIRA Ivo,0
HAMILTON Lucas,0
SCOTSON Callum,0
GRIGNARD Sébastien,0
MOSCA Jacopo,0
GHEBREIGZABHIER Amanuel,1
WANDAHL Frederik,0
ZWIEHOFF Ben,0
KEPPLINGER Rainer,0
CONTRERAS Rodrigo,2
VAN BEKKUM Darren,0
TONEATTI Davide,0
ROMELE Alessandro,0
TJØTTA Martin,0
MIKUTIS Aivaras,2
BRENNER Marco,2
RENARD-HAQUIN Henri-François,0
JANG Kyung-Gu,0
KRETSCHY Moritz,1
JACOBS Johan,0
DONNENWIRTH Tom,0
GAUTHERAT Pierre,1
GOGL Michael,2
SWAN Bailey,0
REINDERINK Pepijn,0
SAMITIER Sergio,0
MOSCON Gianni,1
PLOWRIGHT Jensen,1
HEIDUK Kim,0
THOMPSON Reuben,0
LOPES Lucas,1
STOCKWELL Oliver,0
PÉREZ César,0
KUZMIN Anton,0
ERIKSSON Jacob,0
DONZÉ Robin,0
WEISS Fabian,0
KLUCKERS Arthur,1
SINSCHEK Nils,3
WRIGHT Fred,1
SHMIDT Artem,2
GUALDI Simone,0
TAMINIAUX Lionel,0
VAN SINTMAARTENSDIJK Roel,0
VERGAERDE Otto,0
CHAMBERLAIN Oscar,0
MEEHAN Jamie,0
SENTJENS Sente,0
RODRIGUEZ Angel,0
BODDEN Christopher,2
FAURA José Luis,0
BRAET Vito,0
ROMEO Sergio,1
DE PESTEL Sander,0
ARCAS Jorge,0
PAASSCHENS Mathijs,0
GAMPER Patrick,0
PEACE Oliver,0
ALLEGAERT Piet,0
BAYER Tobias,0
ERMAKOV Roman,1
DELGADO David,0
VAN DEN BERG Julius,0
OURSELIN Paul,0
TENE Rotem,0
BELMANS Lennert,0
AULAR Orluis,0
TORRES Pablo,0
DÍAZ José Manuel,1
DE LA CRUZ David,0
SOSA Iván Ramiro,1
CHUMIL Sergio Geovani,2
APARICIO Mario,0
RIVERA Brandon Smith,1
BRUSTENGA Marc,1
CANAL Carlos,1
RUIZ Ibon,1
DVERSNES LAVIK Fredrik,1
DE SCHUYTENEER Steffen,0
COBO Iván,2
BELOKI Markel,4
DE PRETTO Davide,0
FAURE PROST Alexy,0
MARTÍ Pau,1
MACÍAS César,1
URIARTE Diego,0
RODRIGUEZ Juan Felipe,0
DE JONG Timo,0
CAVIA Daniel,0
GUTIÉRREZ Jorge,0
GONZÁLEZ David,0
GIMENO Nil,0
